Nome,Sigla,Data,Dia_semana,Max_Dia,Min_Dia,Valor_abertura,Valor_fechamento,Volume_negociacao,Valor_Mercado
Bitcoin,BTC,29/04/2013,Segunda-feira,147.48800659179688,134.0,134.44400024414062,144.5399932861328,0.0,1603768864.5
Bitcoin,BTC,30/04/2013,Terça-feira,146.92999267578125,134.0500030517578,144.0,139.0,0.0,1542813125.0
Bitcoin,BTC,01/05/2013,Quarta-feira,139.88999938964844,107.72000122070312,139.0,116.98999786376952,0.0,1298954593.75
Bitcoin,BTC,02/05/2013,Quinta-feira,125.5999984741211,92.28189849853516,116.37999725341795,105.20999908447266,0.0,1168517495.25
Bitcoin,BTC,03/05/2013,Sexta-feira,108.12799835205078,79.0999984741211,106.25,97.75,0.0,1085995168.75
Bitcoin,BTC,04/05/2013,Sábado,115.0,92.5,98.0999984741211,112.5,0.0,1250316562.5
Bitcoin,BTC,05/05/2013,Domingo,118.8000030517578,107.14299774169922,112.9000015258789,115.91000366210938,0.0,1288693175.5
Bitcoin,BTC,06/05/2013,Segunda-feira,124.66300201416016,106.63999938964844,115.9800033569336,112.3000030517578,0.0,1249023060.0
Bitcoin,BTC,07/05/2013,Terça-feira,113.44400024414062,97.6999969482422,112.25,111.5,0.0,1240593600.0
Bitcoin,BTC,08/05/2013,Quarta-feira,115.77999877929688,109.5999984741211,109.5999984741211,113.56600189208984,0.0,1264049202.15
Bitcoin,BTC,09/05/2013,Quinta-feira,113.45999908447266,109.26000213623048,113.1999969482422,112.66999816894533,0.0,1254535382.0
Bitcoin,BTC,10/05/2013,Sexta-feira,122.0,111.5510025024414,112.79900360107422,117.1999969482422,0.0,1305479080.0
Bitcoin,BTC,11/05/2013,Sábado,118.6790008544922,113.01000213623048,117.6999969482422,115.24299621582033,0.0,1284207489.42
Bitcoin,BTC,12/05/2013,Domingo,117.4489974975586,113.43499755859376,115.63999938964844,115.0,0.0,1281982625.0
Bitcoin,BTC,13/05/2013,Segunda-feira,118.6989974975586,114.5,114.81999969482422,117.9800033569336,0.0,1315710010.5
Bitcoin,BTC,14/05/2013,Terça-feira,119.8000030517578,110.25,117.9800033569336,111.5,0.0,1243874487.5
Bitcoin,BTC,15/05/2013,Quarta-feira,115.80999755859376,103.5,111.4000015258789,114.22000122070312,0.0,1274623812.5
Bitcoin,BTC,16/05/2013,Quinta-feira,118.76000213623048,112.1999969482422,114.22000122070312,118.76000213623048,0.0,1325726787.0
Bitcoin,BTC,17/05/2013,Sexta-feira,125.3000030517578,116.5709991455078,118.20999908447266,123.01499938964844,0.0,1373723881.88
Bitcoin,BTC,18/05/2013,Sábado,125.25,122.3000030517578,123.5,123.4980010986328,0.0,1379574545.85
Bitcoin,BTC,19/05/2013,Domingo,124.5,119.5709991455078,123.21099853515624,121.98999786376952,0.0,1363204702.75
Bitcoin,BTC,20/05/2013,Segunda-feira,123.62100219726562,120.12000274658205,122.5,122.0,0.0,1363709900.0
Bitcoin,BTC,21/05/2013,Terça-feira,123.0,121.20999908447266,122.0199966430664,122.87999725341795,0.0,1374013440.0
Bitcoin,BTC,22/05/2013,Quarta-feira,124.0009994506836,122.0,122.88999938964844,123.88899993896484,0.0,1385778992.85
Bitcoin,BTC,23/05/2013,Quinta-feira,126.93399810791016,123.0999984741211,123.8000030517578,126.6999969482422,0.0,1417769832.5
Bitcoin,BTC,24/05/2013,Sexta-feira,133.85000610351562,125.71900177001952,126.3000030517578,133.1999969482422,0.0,1491070770.0
Bitcoin,BTC,25/05/2013,Sábado,133.218994140625,128.89999389648438,133.10000610351562,131.97999572753906,0.0,1477958233.0
Bitcoin,BTC,26/05/2013,Domingo,136.0,130.61500549316406,131.98599243164062,133.47999572753906,0.0,1495293015.0
Bitcoin,BTC,27/05/2013,Segunda-feira,135.46499633789062,124.6999969482422,133.5,129.7449951171875,0.0,1454029509.62
Bitcoin,BTC,28/05/2013,Terça-feira,130.5800018310547,125.5999984741211,129.77000427246094,129.0,0.0,1446189975.0
Bitcoin,BTC,29/05/2013,Quarta-feira,132.58999633789062,127.66200256347656,129.0,132.3000030517578,0.0,1483734577.5
Bitcoin,BTC,30/05/2013,Quinta-feira,132.25,127.0,132.25,128.7989959716797,0.0,1445053940.55
Bitcoin,BTC,31/05/2013,Sexta-feira,129.89999389648438,126.4000015258789,128.7989959716797,129.0,0.0,1447870200.0
Bitcoin,BTC,01/06/2013,Sábado,129.77999877929688,127.1989974975586,128.81500244140625,129.3000030517578,0.0,1451916165.0
Bitcoin,BTC,02/06/2013,Domingo,129.39999389648438,115.0500030517578,129.3000030517578,122.29199981689452,0.0,1373837499.9
Bitcoin,BTC,03/06/2013,Segunda-feira,122.5,116.0,122.5,122.22200012207033,0.0,1373708057.9
Bitcoin,BTC,04/06/2013,Terça-feira,123.83999633789062,119.0999984741211,120.73699951171876,121.41999816894533,0.0,1365337545.0
